ioc,ioc_type,threat_type,malware,confidence_level,reference,first_seen,last_seen,source,collection_date
2025-12-16 06:58:52,"""1680503""","""http://www.horncast.se/rn10/""","""url""","""botnet_cc""","""win.formbook""","""win.xloader""","""Formbook""",ThreatFox,2025-12-18T05:28:04.049598
2025-12-16 06:58:52,"""1680504""","""http://www.hpsvifx.bond/rn10/""","""url""","""botnet_cc""","""win.formbook""","""win.xloader""","""Formbook""",ThreatFox,2025-12-18T05:28:04.049601
2025-12-16 06:58:52,"""1680505""","""http://www.i7u6fiq.bond/rn10/""","""url""","""botnet_cc""","""win.formbook""","""win.xloader""","""Formbook""",ThreatFox,2025-12-18T05:28:04.049604
2025-12-16 06:58:52,"""1680506""","""http://www.iile.cn/rn10/""","""url""","""botnet_cc""","""win.formbook""","""win.xloader""","""Formbook""",ThreatFox,2025-12-18T05:28:04.049607
2025-12-16 06:58:52,"""1680507""","""http://www.indowblindsbd.com/rn10/""","""url""","""botnet_cc""","""win.formbook""","""win.xloader""","""Formbook""",ThreatFox,2025-12-18T05:28:04.049609
2025-12-16 06:58:52,"""1680508""","""http://www.infastvnauto.com/rn10/""","""url""","""botnet_cc""","""win.formbook""","""win.xloader""","""Formbook""",ThreatFox,2025-12-18T05:28:04.049612
2025-12-16 06:58:52,"""1680509""","""http://www.ioneerindustriesllc.net/rn10/""","""url""","""botnet_cc""","""win.formbook""","""win.xloader""","""Formbook""",ThreatFox,2025-12-18T05:28:04.049615
2025-12-16 06:58:52,"""1680510""","""http://www.itoolstown.com/rn10/""","""url""","""botnet_cc""","""win.formbook""","""win.xloader""","""Formbook""",ThreatFox,2025-12-18T05:28:04.049620
2025-12-16 06:58:52,"""1680511""","""http://www.kwj9ys.bond/rn10/""","""url""","""botnet_cc""","""win.formbook""","""win.xloader""","""Formbook""",ThreatFox,2025-12-18T05:28:04.049623
2025-12-16 06:58:51,"""1680493""","""http://www.eojgm2.bond/rn10/""","""url""","""botnet_cc""","""win.formbook""","""win.xloader""","""Formbook""",ThreatFox,2025-12-18T05:28:04.049626
2025-12-16 06:58:51,"""1680494""","""http://www.erkshireriskservices.ai/rn10/""","""url""","""botnet_cc""","""win.formbook""","""win.xloader""","""Formbook""",ThreatFox,2025-12-18T05:28:04.049629
2025-12-16 06:58:51,"""1680495""","""http://www.eucaixaapp.com.br/rn10/""","""url""","""botnet_cc""","""win.formbook""","""win.xloader""","""Formbook""",ThreatFox,2025-12-18T05:28:04.049632
2025-12-16 06:58:51,"""1680496""","""http://www.ffortlessrules.com/rn10/""","""url""","""botnet_cc""","""win.formbook""","""win.xloader""","""Formbook""",ThreatFox,2025-12-18T05:28:04.049635
2025-12-16 06:58:51,"""1680497""","""http://www.fnciu.bond/rn10/""","""url""","""botnet_cc""","""win.formbook""","""win.xloader""","""Formbook""",ThreatFox,2025-12-18T05:28:04.049638
2025-12-16 06:58:51,"""1680498""","""http://www.glychic.store/rn10/""","""url""","""botnet_cc""","""win.formbook""","""win.xloader""","""Formbook""",ThreatFox,2025-12-18T05:28:04.049642
2025-12-16 06:58:51,"""1680499""","""http://www.hargingstations.be/rn10/""","""url""","""botnet_cc""","""win.formbook""","""win.xloader""","""Formbook""",ThreatFox,2025-12-18T05:28:04.049645
2025-12-16 06:58:51,"""1680500""","""http://www.heiliao.wiki/rn10/""","""url""","""botnet_cc""","""win.formbook""","""win.xloader""","""Formbook""",ThreatFox,2025-12-18T05:28:04.049649
2025-12-16 06:58:51,"""1680501""","""http://www.heroplu.xyz/rn10/""","""url""","""botnet_cc""","""win.formbook""","""win.xloader""","""Formbook""",ThreatFox,2025-12-18T05:28:04.049652
2025-12-16 06:58:50,"""1680483""","""http://www.a2sbn1y.bond/rn10/""","""url""","""botnet_cc""","""win.formbook""","""win.xloader""","""Formbook""",ThreatFox,2025-12-18T05:28:04.049655
