ioc,ioc_type,threat_type,malware,confidence_level,reference,first_seen,last_seen,source,collection_date
,,,,,,,,ThreatFox,2025-12-18T05:16:37.915146
,,,,,,,,ThreatFox,2025-12-18T05:16:37.915151
,,,,,,,,ThreatFox,2025-12-18T05:16:37.915156
,,,,,,,,ThreatFox,2025-12-18T05:16:37.915161
,,,,,,,,ThreatFox,2025-12-18T05:16:37.915166
,,,,,,,,ThreatFox,2025-12-18T05:16:37.915174
,,,,,,,,ThreatFox,2025-12-18T05:16:37.915179
,,,,,,,,ThreatFox,2025-12-18T05:16:37.915186
,,,,,,,,ThreatFox,2025-12-18T05:16:37.915192
,,,,,,,,ThreatFox,2025-12-18T05:16:37.915197
,,,,,,,,ThreatFox,2025-12-18T05:16:37.915203
,,,,,,,,ThreatFox,2025-12-18T05:16:37.915210
,,,,,,,,ThreatFox,2025-12-18T05:16:37.915217
,,,,,,,,ThreatFox,2025-12-18T05:16:37.915223
,,,,,,,,ThreatFox,2025-12-18T05:16:37.915229
